jobTitle,company,location,experience,salary,jobLink,skills
Data Analyst,Virtusa,Hyderabad,1-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-1-to-5-years-211124501258,"Data analysis, Data migration, RDBMS, Database design, Design development, Data Analyst, Informatica, Data mining"
ServiceNow Developer – CMDB Data Analyst,Shashwath Solution,"Mumbai, Delhi / NCR, Bengaluru",5-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-servicenow-developer-cmdb-data-analyst-shashwath-solution-mumbai-delhi-ncr-bengaluru-5-to-7-years-201124919250,"ServiceNow development, CMDB, Data Management, ITSM, ITOM, ServiceNow scripting, data modeling, JavaScript"
Data Analyst,Auriga It Consulting,"Jaipur, Bengaluru, Delhi / NCR",3-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-auriga-it-consulting-pvt-ltd-jaipur-bengaluru-delhi-ncr-3-to-4-years-191124916814,"Data Analysis, R, data modeling, data visualization, Data extraction, SQL, Python, Modeling"
Data Analyst-Solar,U-solar Clean Energy Solutions,Bengaluru,1-3 Yrs,3-4.25 Lacs PA,https://www.naukri.com/job-listings-data-analyst-solar-u-solar-clean-energy-solutions-bengaluru-1-to-3-years-281124015625,"Power Bi, Excel, Python, Asset Monitoring, Automation, Solar, Problem Solving, Data"
Data Analyst,Vegrow,Bengaluru(HSR Layout),2-4 Yrs,5-7 Lacs PA,https://www.naukri.com/job-listings-data-analyst-vegrow-bengaluru-2-to-4-years-251124009027,"Advanced Excel, Powerpoint, Data Validation, Countif, Formulas, Conditional Formatting, Macros, HLOOKUP"
Data Analyst,CipherTech.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ciphertech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-221124504686,"database design, design development, data mining, segmentation, statistics, etl scripts, ETL, Development"
Data Analyst,Acufore India,Bengaluru,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-acufore-bengaluru-2-to-4-years-191124504562,"Computer science, Data analysis, data science, Process improvement, Data collection, power bi, Data Analyst, Business intelligence"
Data Analyst,Gainwell Technologies,Bengaluru,2-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-gainwell-technologies-bengaluru-2-to-10-years-181124500877,"Coding, Manager Technology, Healthcare, Data Analyst, data mapping, Research, Claims processing, SQL"
Data Analyst,Incanus Technologies,"Hybrid - Pune, Bengaluru, Delhi / NCR",1-6 Yrs,5-15 Lacs PA,https://www.naukri.com/job-listings-data-analyst-incanus-technologies-pune-bengaluru-delhi-ncr-1-to-6-years-260324004535,"Python, SQL, Excel, Data analysis, Data"
Data Analyst (New),Famapp,Bengaluru,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-new-fam-bengaluru-2-to-4-years-181124500529,"SAS, Database design, Process improvement, Data collection, Manager Quality Control, SPSS, SQL, Python"
Data Analyst,Overture Rede,Bengaluru,8-13 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-overture-rede-pvt-ltd-bengaluru-8-to-13-years-211124503159,"Data dictionary, Data analysis, metadata, Cloud, data governance, Data quality, Data Analyst, Subject matter expertise"
PSI Data Analyst,DANAHAR CORPORATION,Bengaluru,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-psi-data-analyst-danahar-corporation-bengaluru-3-to-6-years-181124500711,"Data analysis, Supply chain management, Automation, Sales operations, Standard operating procedures, Healthcare, Life sciences, Customer service"
